"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2024","176.92","176.19","178.77","176.08","22.55M","0.49%"
"05/17/2024","176.06","174.18","176.26","173.69","24.48M","1.08%"
"05/16/2024","174.18","173.29","175.12","172.69","27.87M","0.97%"
"05/15/2024","172.51","170.63","172.65","170.51","26.95M","1.27%"
"05/14/2024","170.34","169.77","171.25","168.80","25.13M","0.71%"
"05/13/2024","169.14","164.26","169.28","164.00","31.33M","0.29%"
"05/10/2024","168.65","168.02","169.85","166.19","29.80M","-0.77%"
"05/09/2024","169.96","169.39","170.69","168.18","15.35M","0.34%"
"05/08/2024","169.38","169.00","170.15","168.74","19.57M","-1.09%"
"05/07/2024","171.25","168.50","171.76","168.39","28.04M","1.87%"
"05/06/2024","168.10","167.46","168.14","166.03","21.87M","0.51%"
"05/03/2024","167.24","167.56","167.96","163.05","34.66M","0.37%"
"05/02/2024","166.62","164.79","166.73","163.89","24.29M","1.68%"
"05/01/2024","163.86","164.30","167.12","163.09","33.49M","0.66%"
"04/30/2024","162.78","165.61","168.10","162.60","33.56M","-2.03%"
"04/29/2024","166.15","169.06","169.55","165.21","45.61M","-3.37%"
"04/26/2024","171.95","174.37","174.71","169.65","64.67M","10.22%"
"04/25/2024","156.00","151.33","156.49","150.87","57.11M","-1.97%"
"04/24/2024","159.13","157.49","159.57","157.16","22.78M","0.55%"
"04/23/2024","158.26","156.96","158.97","156.28","21.15M","1.27%"
"04/22/2024","156.28","154.31","157.64","154.06","26.45M","1.42%"
"04/19/2024","154.09","156.20","156.36","152.30","32.62M","-1.23%"
"04/18/2024","156.01","155.34","156.94","154.62","19.88M","0.35%"
"04/17/2024","155.47","155.62","157.08","154.58","21.76M","0.69%"
"04/16/2024","154.40","154.19","155.65","153.43","20.78M","-0.30%"
"04/15/2024","154.86","158.86","159.24","154.59","27.14M","-1.82%"
"04/12/2024","157.73","157.96","160.22","157.14","25.35M","-1.05%"
"04/11/2024","159.41","156.91","159.68","156.46","27.17M","2.09%"
"04/10/2024","156.14","156.21","156.61","154.68","22.84M","-0.29%"
"04/09/2024","156.60","156.09","158.56","155.19","31.11M","1.13%"
"04/08/2024","154.85","152.78","155.27","152.61","20.70M","1.54%"
"04/05/2024","152.50","150.03","153.42","149.60","23.46M","1.31%"
"04/04/2024","150.53","153.50","154.77","150.45","34.72M","-2.83%"
"04/03/2024","154.92","153.60","155.08","152.73","24.70M","0.23%"
"04/02/2024","154.56","153.50","154.70","152.15","24.59M","-0.60%"
"04/01/2024","155.49","150.69","155.74","150.61","31.73M","3.02%"
"03/28/2024","150.93","150.85","151.43","150.17","24.49M","0.04%"
"03/27/2024","150.87","151.18","151.63","148.90","22.88M","0.13%"
"03/26/2024","150.67","150.22","152.26","149.98","22.15M","0.40%"
"03/25/2024","150.07","149.94","150.38","147.82","19.23M","-0.46%"
"03/22/2024","150.77","149.12","151.58","148.98","29.21M","2.15%"
"03/21/2024","147.60","149.47","150.37","146.90","24.76M","-0.77%"
"03/20/2024","148.74","148.00","148.86","146.74","21.31M","1.16%"
"03/19/2024","147.03","148.16","148.79","146.08","24.07M","-0.44%"
"03/18/2024","147.68","148.61","152.15","147.17","69.27M","4.60%"
"03/15/2024","141.18","142.50","143.18","140.03","49.48M","-1.34%"
"03/14/2024","143.10","141.19","143.59","140.46","42.75M","2.37%"
"03/13/2024","139.79","139.00","141.09","138.99","23.35M","0.93%"
"03/12/2024","138.50","137.03","139.38","137.03","27.56M","0.60%"
"03/11/2024","137.67","136.13","139.10","136.13","32.44M","1.67%"
"03/08/2024","135.41","134.21","138.09","134.00","39.37M","0.77%"
"03/07/2024","134.38","132.79","134.94","131.61","37.74M","2.27%"
"03/06/2024","131.40","133.12","133.58","130.85","35.32M","-0.96%"
"03/05/2024","132.67","131.88","133.24","130.66","40.19M","-0.51%"
"03/04/2024","133.35","135.66","135.66","131.91","56.00M","-2.76%"
"03/01/2024","137.14","138.43","138.87","136.92","31.15M","-0.95%"
"02/29/2024","138.46","137.28","138.86","136.40","42.13M","1.53%"
"02/28/2024","136.38","137.90","138.01","135.41","37.33M","-1.80%"
"02/27/2024","138.88","138.02","139.25","137.09","33.10M","0.95%"
"02/26/2024","137.57","142.14","142.44","137.39","53.64M","-4.44%"
"02/23/2024","143.96","143.67","144.68","143.43","19.49M","-0.09%"
"02/22/2024","144.09","144.93","145.00","142.80","27.19M","1.08%"
"02/21/2024","142.55","141.45","142.69","140.68","23.32M","1.01%"
"02/20/2024","141.12","139.65","142.08","139.49","24.94M","0.43%"
"02/16/2024","140.52","142.99","143.19","140.14","31.47M","-1.58%"
"02/15/2024","142.77","143.14","143.52","140.46","37.59M","-2.17%"
"02/14/2024","145.94","146.08","146.52","144.09","22.70M","0.55%"
"02/13/2024","145.14","144.92","146.67","143.69","27.84M","-1.62%"
"02/12/2024","147.53","148.42","149.34","147.37","21.56M","-0.99%"
"02/09/2024","149.00","146.68","149.44","146.18","26.83M","2.12%"
"02/08/2024","145.91","145.83","146.33","145.10","22.56M","0.25%"
