"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2024","179.34","177.64","179.82","176.44","27.20M","0.56%"
"06/03/2024","178.34","177.70","178.70","175.92","30.79M","1.08%"
"05/31/2024","176.44","178.30","179.21","173.87","58.90M","-1.61%"
"05/30/2024","179.32","181.31","181.34","178.35","29.25M","-1.48%"
"05/29/2024","182.02","181.70","184.08","181.55","32.01M","-0.07%"
"05/28/2024","182.15","179.93","182.24","179.49","29.93M","0.77%"
"05/24/2024","180.75","181.65","182.43","180.30","27.47M","-0.17%"
"05/23/2024","181.05","183.66","184.76","180.08","33.67M","-1.14%"
"05/22/2024","183.13","183.88","185.22","181.97","28.15M","-0.01%"
"05/21/2024","183.15","182.30","183.26","180.75","50.84M","-0.21%"
"05/20/2024","183.54","184.34","186.66","183.28","30.51M","-0.63%"
"05/17/2024","184.70","183.76","185.30","183.35","33.18M","0.58%"
"05/16/2024","183.63","185.60","187.31","183.46","38.83M","-1.27%"
"05/15/2024","185.99","185.97","186.72","182.73","75.46M","-0.58%"
"05/14/2024","187.07","183.82","187.72","183.45","38.70M","0.27%"
"05/13/2024","186.57","188.00","188.31","185.36","24.90M","-0.49%"
"05/10/2024","187.48","189.16","189.89","186.93","34.14M","-1.07%"
"05/09/2024","189.50","188.88","191.70","187.44","43.37M","0.80%"
"05/08/2024","188.00","187.44","188.43","186.38","26.14M","-0.40%"
"05/07/2024","188.76","188.92","189.94","187.30","34.05M","0.03%"
"05/06/2024","188.70","186.28","188.74","184.80","34.73M","1.34%"
"05/03/2024","186.21","186.99","187.87","185.42","39.17M","0.81%"
"05/02/2024","184.72","180.85","185.10","179.91","54.30M","3.20%"
"05/01/2024","179.00","181.63","185.15","176.56","94.65M","2.29%"
"04/30/2024","175.00","181.09","182.99","174.80","94.64M","-3.29%"
"04/29/2024","180.96","182.75","183.53","179.39","54.06M","0.75%"
"04/26/2024","179.62","177.79","180.82","176.13","43.92M","3.43%"
"04/25/2024","173.67","169.68","173.92","166.32","49.25M","-1.65%"
"04/24/2024","176.59","179.94","180.32","176.18","34.19M","-1.64%"
"04/23/2024","179.54","178.08","179.93","175.98","37.05M","1.30%"
"04/22/2024","177.23","176.94","178.87","174.56","37.92M","1.49%"
"04/19/2024","174.63","178.74","179.00","173.44","56.00M","-2.56%"
"04/18/2024","179.22","181.47","182.39","178.65","30.72M","-1.14%"
"04/17/2024","181.28","184.31","184.57","179.82","31.36M","-1.11%"
"04/16/2024","183.32","183.27","184.83","182.26","32.89M","-0.16%"
"04/15/2024","183.62","187.43","188.69","183.00","48.05M","-1.35%"
"04/12/2024","186.13","187.72","188.38","185.08","38.61M","-1.54%"
"04/11/2024","189.05","186.74","189.77","185.51","40.02M","1.67%"
"04/10/2024","185.95","182.76","186.27","182.67","35.88M","0.15%"
"04/09/2024","185.67","187.24","187.34","184.20","36.55M","0.26%"
"04/08/2024","185.19","186.90","187.29","184.81","39.22M","0.06%"
"04/05/2024","185.07","182.38","186.27","181.97","42.37M","2.82%"
"04/04/2024","180.00","184.00","185.10","180.00","41.62M","-1.32%"
"04/03/2024","182.41","179.90","182.87","179.80","31.05M","0.95%"
"04/02/2024","180.69","179.07","180.79","178.38","32.61M","-0.15%"
"04/01/2024","180.97","180.79","183.00","179.95","29.17M","0.33%"
"03/28/2024","180.38","180.17","181.70","179.26","38.05M","0.31%"
"03/27/2024","179.83","179.88","180.00","177.31","33.27M","0.86%"
"03/26/2024","178.30","180.15","180.45","177.95","29.66M","-0.78%"
"03/25/2024","179.71","178.01","180.99","177.24","29.82M","0.47%"
"03/22/2024","178.87","177.75","179.26","176.75","28.00M","0.40%"
"03/21/2024","178.15","179.99","181.41","178.15","32.82M","0.00%"
"03/20/2024","178.15","176.14","178.53","174.64","29.95M","1.28%"
"03/19/2024","175.90","174.21","176.09","173.52","26.88M","0.81%"
"03/18/2024","174.48","175.80","176.69","174.28","31.25M","0.03%"
"03/15/2024","174.42","176.64","177.93","173.90","72.15M","-2.42%"
"03/14/2024","178.75","177.69","179.53","176.46","43.71M","1.24%"
"03/13/2024","176.55","175.90","177.62","175.55","30.77M","0.66%"
"03/12/2024","175.39","173.50","176.76","171.98","36.61M","1.99%"
"03/11/2024","171.96","174.31","174.47","171.47","28.48M","-1.93%"
"03/08/2024","175.35","176.44","178.79","174.33","37.89M","-0.83%"
"03/07/2024","176.82","174.83","177.99","173.72","34.06M","1.91%"
"03/06/2024","173.51","175.54","176.46","173.26","32.09M","-0.35%"
"03/05/2024","174.12","176.93","176.93","173.30","37.23M","-1.95%"
"03/04/2024","177.58","177.53","180.14","177.49","37.38M","-0.36%"
"03/01/2024","178.22","176.75","178.73","176.07","31.98M","0.83%"
"02/29/2024","176.76","173.01","177.22","172.85","53.81M","2.08%"
"02/28/2024","173.16","172.44","174.05","172.27","28.18M","-0.22%"
"02/27/2024","173.54","174.07","174.62","172.86","31.14M","-0.68%"
"02/26/2024","174.73","175.70","176.37","174.26","44.37M","-0.15%"
"02/23/2024","174.99","174.28","175.75","173.70","59.72M","0.23%"
"02/22/2024","174.58","173.10","174.80","171.77","55.39M","3.55%"
"02/21/2024","168.59","168.94","170.23","167.14","44.58M","0.90%"
"02/20/2024","167.08","167.83","168.71","165.74","41.98M","-1.43%"
"02/16/2024","169.51","168.74","170.42","167.17","48.11M","-0.17%"
"02/15/2024","169.80","170.58","171.17","167.59","49.86M","-0.69%"
"02/14/2024","170.98","169.21","171.21","168.28","42.82M","1.39%"
"02/13/2024","168.64","167.73","170.95","165.75","56.35M","-2.15%"
"02/12/2024","172.34","174.80","175.39","171.54","51.05M","-1.21%"
"02/09/2024","174.45","170.90","175.00","170.58","56.99M","2.71%"
"02/08/2024","169.84","169.65","171.43","168.88","42.32M","-0.40%"
"02/07/2024","170.53","169.48","170.88","168.94","47.17M","0.82%"
"02/06/2024","169.15","169.39","170.71","167.65","42.51M","-0.68%"
"02/05/2024","170.31","170.20","170.55","167.70","55.08M","-0.87%"
"02/02/2024","171.81","169.19","172.50","167.33","117.22M","7.87%"
"02/01/2024","159.28","155.87","159.76","155.62","76.54M","2.63%"
"01/31/2024","155.20","157.00","159.01","154.81","50.28M","-2.39%"
"01/30/2024","159.00","160.70","161.73","158.49","45.21M","-1.40%"
"01/29/2024","161.26","159.34","161.29","158.90","45.27M","1.34%"
"01/26/2024","159.12","158.42","160.72","157.91","51.05M","0.87%"
"01/25/2024","157.75","156.95","158.51","154.55","43.64M","0.56%"
"01/24/2024","156.87","157.80","158.51","156.48","48.55M","0.54%"
"01/23/2024","156.02","154.85","156.21","153.93","37.99M","0.80%"
"01/22/2024","154.78","156.89","157.05","153.90","43.69M","-0.36%"
"01/19/2024","155.34","153.83","155.76","152.74","51.65M","1.20%"
"01/18/2024","153.50","152.77","153.77","151.82","37.85M","1.18%"
"01/17/2024","151.71","151.49","152.15","149.91","34.95M","-0.95%"
"01/16/2024","153.16","153.53","154.99","152.15","41.38M","-0.94%"
"01/12/2024","154.62","155.39","156.20","154.01","40.48M","-0.36%"
"01/11/2024","155.18","155.04","157.17","153.12","49.07M","0.94%"
"01/10/2024","153.73","152.06","154.42","151.88","44.42M","1.56%"
"01/09/2024","151.37","148.33","151.71","148.21","43.81M","1.52%"
"01/08/2024","149.10","146.74","149.40","146.15","46.76M","2.66%"
"01/05/2024","145.24","144.69","146.59","144.53","45.15M","0.46%"
"01/04/2024","144.57","145.59","147.38","144.05","56.04M","-2.63%"
"01/03/2024","148.47","149.20","151.05","148.33","49.43M","-0.97%"
"01/02/2024","149.93","151.54","152.38","148.39","47.34M","-1.32%"
